#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A29E56
#Date Time: 2023-12-04 15:54:01.978
#Sample rate: 1600Hz
#Samples: 42598
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-81.92,1.059087459875995,1.334525521979032
-81.919375,1.528313593009821,1.925061663768421
-81.91875,1.527979624232217,1.925061663768958
-81.918125,1.527979624232216,1.925061663768958
-81.9175,1.527979624232216,1.925061663768958
-81.916875,1.527979624232216,1.924386765321201
-81.91625000000001,1.527645655454187,1.924386765321198
-81.91562500000001,1.527645655454185,1.924386765321198
-81.91500000000001,1.527979624232214,1.924386765321198
-81.91437500000001,1.528313593010245,1.924049316097321
-81.91375000000001,1.528313593010248,1.924386765321195
-81.91312500000001,1.528313593010248,1.924386765321198
-81.91250000000001,1.528647561788276,1.924049316097322
-81.91187499999999,1.528981530566318,1.924724214545082
-81.91125,1.529649468122377,1.925061663768961
-81.910625,1.529983436900411,1.925399112992844
-81.91,1.530651374456468,1.926074011440601
-81.909375,1.530651374456468,1.92641146066448
-81.90875,1.530651374456468,1.926748909888358
-81.908125,1.53065137445647,1.926748909888358
-81.9075,1.530985343234501,1.926748909888359
-81.906875,1.531319312012531,1.927086359112238
-81.90625,1.531319312012531,1.927086359112239
-81.905625,1.531319312012531,1.927423808336118
-81.905,1.531319312012531,1.927423808336118
-81.904375,1.531319312012531,1.927761257559998
-81.90375,1.531319312012531,1.927761257559998
-81.903125,1.5309853432345,1.928098706783877
-81.9025,1.5309853432345,1.927761257559998
-81.901875,1.5309853432345,1.928098706783876
-81.90125,1.53131931201253,1.928098706783878
-81.90062500000001,1.531653280790561,1.927423808336121
-81.90000000000001,1.531987249568592,1.927423808336118
-81.89937500000001,1.531987249568594,1.927423808336118
-81.89875000000001,1.531987249568594,1.927423808336118
-81.89812500000001,1.531653280790566,1.927761257559995
-81.89750000000001,1.531319312012535,1.928098706783874
-81.89687500000001,1.530985343234503,1.928098706783878
-81.89624999999999,1.530651374456472,1.927761257559998
-81.895625,1.530985343234496,1.927761257560001
-81.895,1.530651374456468,1.928098706783874
-81.894375,1.530651374456468,1.927761257559998
-81.89375,1.530651374456468,1.927761257559993
-81.893125,1.530651374456468,1.92708635911224
-81.8925,1.530651374456468,1.927423808336116
-81.891875,1.53065137445647,1.927086359112238
-81.89125,1.5309853432345,1.927086359112239
-81.890625,1.5309853432345,1.927423808336119
-81.89,1.5309853432345,1.927761257559997
-81.889375,1.531319312012531,1.927423808336118
-81.88875,1.531653280790563,1.927423808336118
-81.888125,1.531319312012531,1.927086359112238
-81.8875,1.531319312012531,1.927423808336117
-81.886875,1.531319312012531,1.927423808336118
-81.88625,1.531319312012531,1.927761257559996
-81.885625,1.530985343234501,1.928098706783876
-81.88500000000001,1.53065137445647,1.928098706783878
-81.88437500000001,1.530985343234498,1.928098706783878
-81.88375000000001,1.530651374456471,1.928436156007755
-81.88312500000001,1.530651374456468,1.92809870678388
-81.88250000000001,1.530651374456468,1.928098706783878
-81.88187500000001,1.530985343234496,1.928098706783878
-81.88125000000001,1.5309853432345,1.928098706783878
-81.88062499999999,1.530651374456468,1.928098706783874
-81.88,1.530651374456468,1.927761257559998
-81.879375,1.530651374456474,1.927761257559998
-81.87875,1.531319312012529,1.927761257559992
-81.878125,1.5309853432345,1.927086359112238
-81.8775,1.530985343234498,1.92708635911224
-81.876875,1.530651374456468,1.927423808336119
-81.87625,1.530651374456468,1.927761257559999
-81.875625,1.530651374456467,1.928098706783879
-81.875,1.530317405678437,1.928436156007758
-81.874375,1.530317405678437,1.928436156007757
-81.87375,1.530651374456468,1.928098706783878
-81.873125,1.530651374456468,1.928436156007758
-81.8725,1.530651374456468,1.928436156007758
-81.871875,1.530651374456468,1.928098706783878
-81.87125,1.530985343234499,1.927761257559998
-81.870625,1.530651374456469,1.928098706783876
-81.87,1.530985343234498,1.928098706783878
-81.86937500000001,1.5309853432345,1.928098706783878
-81.86875000000001,1.5309853432345,1.928436156007755
-81.86812500000001,1.530651374456471,1.928436156007758
-81.86750000000001,1.530651374456468,1.928773605231635
-81.86687500000001,1.530985343234497,1.928436156007761
-81.86625000000001,1.530651374456472,1.928098706783881
-81.86562500000001,1.530651374456468,1.928436156007754
-81.86499999999999,1.530651374456468,1.928436156007754
-81.864375,1.530651374456472,1.928098706783874
-81.86375,1.530985343234497,1.927761257559998
-81.863125,1.530651374456468,1.927761257559995
-81.8625,1.530651374456471,1.927423808336118
-81.861875,1.530985343234498,1.92742380833612
-81.86125,1.530651374456466,1.927761257559999
-81.860625,1.530317405678437,1.928098706783878
-81.86,1.530317405678438,1.928098706783878
