#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A29E56
#Date Time: 2023-12-04 14:57:57.510
#Sample rate: 1600Hz
#Samples: 51509
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-81.92,0.08055894024370906,0.08528849517542925
-81.919375,1.770774925859577,1.868370194155503
-81.91875,1.770106988305053,1.868707643381004
-81.918125,1.768771113192929,1.868707643381005
-81.9175,1.768103175636865,1.866682948037733
-81.916875,1.767101269302773,1.867020397261604
-81.91625000000001,1.766767300524738,1.866682948037727
-81.91562500000001,1.766767300524737,1.867695295709359
-81.91500000000001,1.767101269302766,1.868032744933243
-81.91437500000001,1.768771113192912,1.868032744933245
-81.91375000000001,1.768771113192926,1.867357846485491
-81.91312500000001,1.767435238080813,1.868032744933239
-81.91250000000001,1.766767300524744,1.868032744933245
-81.91187499999999,1.766099362968688,1.867357846485504
-81.91125,1.76743523808081,1.869045092604871
-81.910625,1.768437144414894,1.86769529570935
-81.91,1.768437144414891,1.866008049589979
-81.909375,1.768103175636858,1.867695295709385
-81.90875,1.767435238080793,1.870394889500415
-81.908125,1.766433331746711,1.872082135619808
-81.9075,1.767435238080803,1.872757034067546
-81.906875,1.768103175636866,1.868707643380996
-81.90625,1.76910508197096,1.866345498813856
-81.905625,1.770106988305048,1.87039488950041
-81.905,1.768437144414893,1.873431932515324
-81.904375,1.766767300524737,1.872757034067565
-81.90375,1.76776920685883,1.872757034067565
-81.903125,1.768771113192924,1.868370194157133
-81.9025,1.770106988305048,1.872757034067553
-81.901875,1.769105081970961,1.875119178634716
-81.90125,1.767435238080807,1.876468975530238
-81.90062500000001,1.76676730052474,1.874444280186975
-81.90000000000001,1.766767300524737,1.874444280186964
-81.89937500000001,1.766099362968679,1.873431932515332
-81.89875000000001,1.765765394190645,1.871744686395938
-81.89812500000001,1.765765394190642,1.875794077082447
-81.89750000000001,1.764095550300501,1.877481323201867
-81.89687500000001,1.763761581522457,1.876468975530255
-81.89624999999999,1.764095550300481,1.87511917863471
-81.895625,1.763761581522463,1.873769381739225
-81.895,1.764763487856545,1.875794077082478
-81.894375,1.764429519078522,1.875119178634744
-81.89375,1.765097456634572,1.877481323201884
-81.893125,1.764095550300482,1.877481323201862
-81.8925,1.763761581522455,1.874106830963084
-81.891875,1.764095550300484,1.87410683096308
-81.89125,1.764095550300489,1.873094483291457
-81.890625,1.765431425412611,1.876468975530251
-81.89,1.76543142541261,1.879168569321283
-81.889375,1.765097456634579,1.878831120097399
-81.88875,1.764763487856548,1.873094483291444
-81.888125,1.764429519078516,1.873094483291444
-81.8875,1.763427612744423,1.874444280186962
-81.886875,1.764095550300483,1.877143873977997
-81.88625,1.764429519078515,1.878831120097398
-81.885625,1.764429519078516,1.879168569321282
-81.88500000000001,1.763427612744427,1.876468975530259
-81.88437500000001,1.762759675188363,1.875119178634733
-81.88375000000001,1.762425706410329,1.874106830963092
-81.88312500000001,1.762091737632298,1.87579407708247
-81.88250000000001,1.762091737632296,1.88051836621676
-81.88187500000001,1.761757768854267,1.880518366216803
-81.88125000000001,1.761089831298208,1.877143873978041
-81.88062499999999,1.760421893742127,1.87680642475412
-81.88,1.75941998740803,1.876468975530247
-81.879375,1.758084112295924,1.876806424754152
-81.87875,1.758752049851989,1.879843467769063
-81.878125,1.759753956186068,1.882205612336184
-81.8775,1.758752049851981,1.879506018545142
-81.876875,1.758752049851979,1.876131526306353
-81.87625,1.758418081073946,1.874106830963103
-81.875625,1.757750143517887,1.878156221649662
-81.875,1.758084112295921,1.883217960007845
-81.874375,1.759419987408045,1.883892858455596
-81.87375,1.760087924964106,1.879843467769041
-81.873125,1.759753956186075,1.876806424754124
-81.8725,1.75841808107395,1.875794077082485
-81.871875,1.757750143517887,1.880180916992916
-81.87125,1.758084112295917,1.88490520612723
-81.870625,1.759419987408039,1.883217960007849
-81.87,1.760421893742133,1.878156221649667
-81.86937500000001,1.759419987408049,1.875456627858619
-81.86875000000001,1.758084112295926,1.878156221649627
-81.86812500000001,1.75741617473986,1.882205612336174
-81.86750000000001,1.757416174739855,1.883217960007835
-81.86687500000001,1.758752049851968,1.882205612336213
-81.86625000000001,1.760087924964093,1.879168569321314
-81.86562500000001,1.758752049851995,1.87680642475415
-81.86499999999999,1.756748237183766,1.877143873978055
-81.864375,1.754410455737561,1.881868163112334
-81.86375,1.753408549403492,1.882880510783972
-81.863125,1.755078393293642,1.883892858455576
-81.8625,1.756080299627724,1.880518366216803
-81.861875,1.755412362071651,1.880518366216797
-81.86125,1.753074580625434,1.879506018545171
-81.860625,1.751070767957255,1.880855815440696
-81.86,1.75073679917923,1.883555409231725
-81.859375,1.752072674291356,1.883892858455601
-81.85875,1.75407648695954,1.883217960007837
-81.858125,1.75441045573757,1.879843467769044
-81.8575,1.752740611847414,1.880180916992924
-81.856875,1.750736799179226,1.881868163112322
-81.85625,1.750402830401194,1.885580104574996
-81.855625,1.751070767957254,1.885580104575003
-81.855,1.753408549403468,1.882880510783973
-81.854375,1.754076486959537,1.880855815440693
-81.85375000000001,1.752072674291361,1.880855815440684
-81.85312500000001,1.750736799179233,1.885242655351095
-81.85250000000001,1.750068861623167,1.885580104575
-81.85187500000001,1.750736799179219,1.884567756903371
-81.85125000000001,1.752406643069367,1.881193264664594
-81.85062500000001,1.753408549403467,1.880855815440687
-81.85000000000001,1.753074580625449,1.880518366216807
-81.84937499999999,1.751404736735262,1.885242655351141
-81.84875,1.749066955289081,1.886929901470526
-81.848125,1.750402830401208,1.887267350694357
-81.8475,1.752072674291353,1.882205612336198
-81.846875,1.75240664306938,1.88153071388846
-81.84625,1.752072674291338,1.883892858455616
-81.845625,1.750068861623154,1.885917553798883
-81.845,1.748732986511034,1.885917553798871
-81.844375,1.748399017733008,1.883217960007843
-81.84375,1.7494009240671,1.883217960007847
-81.843125,1.750068861623161,1.884567756903368
-81.8425,1.749400924067096,1.887267350694402
-81.841875,1.746729173842847,1.886929901470523
-81.84125,1.745727267508753,1.886255003022764
-81.840625,1.745393298730721,1.883217960007849
-81.84,1.746061236286782,1.882880510783964
-81.839375,1.746061236286784,1.88119326466457
-81.83875,1.744725361174664,1.885242655351105
-81.83812500000001,1.74238757972845,1.884567756903367
-81.83750000000001,1.742387579728437,1.885580104574996
-81.83687500000001,1.740717735838292,1.88456775690337
-81.83625000000001,1.741051704616309,1.881868163112346
-81.83562500000001,1.743055517284482,1.881868163112323
-81.83500000000001,1.741719642172388,1.881868163112323
-81.83437500000001,1.741385673394346,1.886255003022715
-81.83374999999999,1.740049798282217,1.883892858455589
-81.833125,1.740049798282237,1.88254306156008
-81.8325,1.742053610950406,1.882205612336191
-81.831875,1.742053610950411,1.880855815440711
-81.83125,1.742721548506471,1.884230307679493
-81.830625,1.743055517284488,1.885580104575003
-81.83,1.741051704616309,1.88558010457499
-81.829375,1.740717735838286,1.883217960007826
-81.82875,1.742053610950405,1.879506018545172
-81.828125,1.741719642172375,1.881868163112335
-81.8275,1.742053610950402,1.886255003022762
-81.826875,1.740049798282216,1.885917553798881
-81.82625,1.738713923170091,1.883892858455603
-81.825625,1.741051704616309,1.884905206127242
-81.825,1.74071773583828,1.886929901470519
-81.824375,1.74071773583828,1.886592452246644
-81.82375,1.74071773583828,1.886255003022764
-81.823125,1.7387139231701,1.889629495261547
-81.82250000000001,1.738379954392061,1.887942249142172
-81.82187500000001,1.739047891948118,1.886592452246652
-81.82125000000001,1.738045985614035,1.886255003022765
-81.82062500000001,1.736376141723884,1.888617147589903
-81.82000000000001,1.73637614172387,1.891991639828692
-81.81937500000001,1.736710110501898,1.891991639828722
-81.81875000000001,1.737712016835985,1.889292046037712
-81.81812499999999,1.735708204167815,1.89030439370933
-81.8175,1.73637614172388,1.890979292157089
-81.816875,1.737378048057959,1.891654190604854
-81.81625,1.736710110501894,1.893003987500354
-81.815625,1.735708204167805,1.89199163982873
-81.815,1.735374235389782,1.89300398750034
-81.814375,1.736376141723881,1.889629495261568
-81.81375,1.738379954392053,1.890641842933205
-81.813125,1.737044079279936,1.891316741380971
-81.8125,1.737712016835996,1.893678885948116
-81.811875,1.737712016835995,1.891654190604845
-81.81125,1.737044079279933,1.893003987500359
