#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A29E56
#Date Time: 2023-12-04 15:17:30.773
#Sample rate: 1600Hz
#Samples: 55095
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-81.92,0.5287450403619778,0.5374704551745725
-81.919375,1.813856898226009,1.843061502364941
-81.91875,1.813188960671116,1.843398951590008
-81.918125,1.813522929449145,1.843736400813887
-81.9175,1.813188960671116,1.84339895159001
-81.916875,1.813188960671115,1.843398951590008
-81.91625000000001,1.813522929449144,1.84306150236613
-81.91562500000001,1.813856898227175,1.843061502366128
-81.91500000000001,1.813856898227178,1.843061502366128
-81.91437500000001,1.813522929449149,1.843061502366128
-81.91375000000001,1.813188960671118,1.843398951590005
-81.91312500000001,1.813522929449143,1.843398951590008
-81.91250000000001,1.813188960671118,1.843736400813884
-81.91187499999999,1.813188960671111,1.843061502366125
-81.91125,1.812854991893077,1.842724053142245
-81.910625,1.812187054337014,1.842386603918365
-81.91,1.811519116780952,1.84204915469448
-81.909375,1.810851179224894,1.841036807022846
-81.90875,1.810851179224892,1.840699357798971
-81.908125,1.810517210446863,1.841036807022847
-81.9075,1.810517210446861,1.840699357798967
-81.906875,1.810183241668832,1.840361908575089
-81.90625,1.810517210446861,1.84036190857509
-81.905625,1.809849272890799,1.840699357798969
-81.905,1.809515304112768,1.840699357798969
-81.904375,1.809181335334737,1.841036807022848
-81.90375,1.809181335334737,1.840699357798969
-81.903125,1.809181335334737,1.840699357798969
-81.9025,1.809181335334737,1.840699357798969
-81.901875,1.809181335334737,1.840699357798969
-81.90125,1.809181335334737,1.840699357798969
-81.90062500000001,1.809515304112766,1.84036190857509
-81.90000000000001,1.809849272890797,1.840361908575089
-81.89937500000001,1.8098492728908,1.840361908575089
-81.89875000000001,1.810183241668828,1.840361908575089
-81.89812500000001,1.810183241668831,1.840024459351212
-81.89750000000001,1.810183241668831,1.839687010127332
-81.89687500000001,1.811185148002915,1.839687010127329
-81.89624999999999,1.811853085558996,1.840361908575096
-81.895625,1.812521023115052,1.841036807022859
-81.895,1.812521023115055,1.842049154694491
-81.894375,1.812854991893086,1.842386603918368
-81.89375,1.813188960671117,1.842386603918371
-81.893125,1.81352292944915,1.842724053142248
-81.8925,1.814190867005209,1.842724053142248
-81.891875,1.814190867005212,1.842724053142247
-81.89125,1.814858804561272,1.842386603918368
-81.890625,1.814858804561271,1.842386603918368
-81.89,1.814524835783241,1.842386603918369
-81.889375,1.814524835783241,1.842724053142248
-81.88875,1.814524835783241,1.842386603918368
-81.888125,1.814190867005209,1.842049154694489
-81.8875,1.81452483578324,1.842049154694488
-81.886875,1.814858804561271,1.842049154694488
-81.88625,1.813856898227181,1.842386603918367
-81.885625,1.813856898227178,1.842386603918368
-81.88500000000001,1.813856898227178,1.842386603918368
-81.88437500000001,1.814190867005207,1.842386603918368
-81.88375000000001,1.814190867005209,1.842386603918368
-81.88312500000001,1.814190867005209,1.842386603918368
-81.88250000000001,1.813856898227181,1.842386603918368
-81.88187500000001,1.814190867005206,1.842386603918368
-81.88125000000001,1.814524835783237,1.84137425624674
-81.88062499999999,1.814858804561276,1.841036807022856
-81.88,1.815192773339307,1.841711705470608
-81.879375,1.815526742117335,1.841711705470608
-81.87875,1.815526742117332,1.841711705470608
-81.878125,1.815192773339304,1.841711705470611
-81.8775,1.815192773339304,1.842049154694488
-81.876875,1.815192773339304,1.842049154694487
-81.87625,1.815192773339302,1.841711705470608
-81.875625,1.814858804561272,1.84171170547061
-81.875,1.814858804561272,1.842049154694488
