#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A29E56
#Date Time: 2023-12-04 16:10:30.502
#Sample rate: 1600Hz
#Samples: 44164
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-81.92,0.1660549474197723,0.2074451142199739
-81.919375,1.547349813356787,1.93046085134947
-81.91875,1.547349813358043,1.930123402127158
-81.918125,1.547349813358043,1.930123402127157
-81.9175,1.546681875801983,1.929785952903279
-81.916875,1.54668187580198,1.930123402127156
-81.91625000000001,1.54668187580198,1.930123402127157
-81.91562500000001,1.54701584458001,1.92978595290328
-81.91500000000001,1.546347907023954,1.929785952903277
-81.91437500000001,1.546347907023949,1.929785952903277
-81.91375000000001,1.546347907023949,1.9294485036794
-81.91312500000001,1.546347907023949,1.929448503679397
-81.91250000000001,1.546681875801977,1.929448503679397
-81.91187499999999,1.546681875801984,1.929785952903281
-81.91125,1.547015844580012,1.930123402127161
-81.910625,1.547015844580018,1.930460851351037
-81.91,1.547683782136072,1.930460851351035
-81.909375,1.547349813358041,1.930123402127157
-81.90875,1.547015844580012,1.930123402127157
-81.908125,1.547015844580012,1.930123402127157
-81.9075,1.547015844580012,1.930123402127157
-81.906875,1.547015844580011,1.930123402127156
-81.90625,1.546681875801979,1.929785952903277
-81.905625,1.546347907023948,1.929785952903278
-81.905,1.546013938245917,1.930123402127157
-81.904375,1.546013938245917,1.930123402127157
-81.90375,1.546013938245917,1.930460851351037
-81.903125,1.546347907023948,1.930460851351037
-81.9025,1.546347907023949,1.930798300574916
-81.901875,1.546347907023949,1.930460851351039
-81.90125,1.546681875801979,1.930798300574916
-81.90062500000001,1.546347907023951,1.930460851351039
-81.90000000000001,1.54567996946789,1.93012340212716
-81.89937500000001,1.545346000689857,1.930460851351035
-81.89875000000001,1.545346000689854,1.930798300574915
-81.89812500000001,1.546013938245911,1.930123402127164
-81.89750000000001,1.545346000689861,1.929785952903281
-81.89687500000001,1.545679969467882,1.929785952903277
-81.89624999999999,1.546347907023938,1.930460851351037
-81.895625,1.545346000689864,1.930460851351031
-81.895,1.546347907023958,1.929785952903284
-81.894375,1.547349813358032,1.930460851351037
-81.89375,1.546013938245922,1.930460851351032
-81.893125,1.546681875801978,1.92978595290328
-81.8925,1.546347907023956,1.930123402127159
-81.891875,1.547683782136075,1.930460851351036
-81.89125,1.54768378213607,1.930123402127159
-81.890625,1.546347907023951,1.930460851351039
-81.89,1.547015844580012,1.931135749798796
-81.889375,1.547015844580012,1.930460851351037
-81.88875,1.547015844580012,1.930460851351037
-81.888125,1.547015844580012,1.930460851351037
-81.8875,1.54634790702395,1.930123402127158
-81.886875,1.54701584458001,1.930460851351036
-81.88625,1.547015844580012,1.930123402127159
-81.885625,1.546681875801982,1.930460851351036
-81.88500000000001,1.54668187580198,1.929448503679403
-81.88437500000001,1.54668187580198,1.929448503679397
-81.88375000000001,1.547015844580009,1.929448503679397
-81.88312500000001,1.546681875801983,1.929448503679397
-81.88250000000001,1.546347907023952,1.929785952903274
-81.88187500000001,1.546681875801977,1.930460851351031
-81.88125000000001,1.54668187580198,1.930798300574913
-81.88062499999999,1.5456799694679,1.929785952903285
-81.88,1.547015844580008,1.930460851351041
-81.879375,1.546681875801974,1.930798300574914
-81.87875,1.54601393824592,1.930460851351037
-81.878125,1.546347907023944,1.93046085135104
-81.8775,1.545679969467892,1.930798300574915
-81.876875,1.54668187580198,1.930460851351037
-81.87625,1.546681875801977,1.930460851351037
-81.875625,1.546013938245921,1.930460851351037
-81.875,1.547015844580012,1.930460851351035
-81.874375,1.547015844580012,1.929448503679397
-81.87375,1.547349813358043,1.929448503679397
