#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A29E56
#Date Time: 2023-12-04 15:59:01.814
#Sample rate: 1600Hz
#Samples: 40060
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-81.92,0.6603287389063875,0.8303763815023756
-81.919375,1.533323124679926,1.927761257559
-81.91875,1.532655187124658,1.927761257559998
-81.918125,1.532321218346627,1.927423808336119
-81.9175,1.531987249568595,1.927423808336118
-81.916875,1.531319312012534,1.927423808336118
-81.91625000000001,1.530985343234502,1.927423808336118
-81.91562500000001,1.53065137445647,1.927423808336118
-81.91500000000001,1.530651374456468,1.927423808336118
-81.91437500000001,1.530317405678439,1.927761257559995
-81.91375000000001,1.529983436900408,1.927761257559998
-81.91312500000001,1.530317405678433,1.927423808336121
-81.91250000000001,1.530651374456465,1.927086359112242
-81.91187499999999,1.5309853432345,1.927423808336121
-81.91125,1.530985343234503,1.927761257559998
-81.910625,1.531319312012531,1.927761257560001
-81.91,1.531319312012531,1.928098706783878
-81.909375,1.531319312012531,1.928098706783878
-81.90875,1.531319312012531,1.928098706783878
-81.908125,1.531319312012535,1.928098706783878
-81.9075,1.531987249568594,1.928098706783879
-81.906875,1.531987249568594,1.928436156007758
-81.90625,1.531987249568594,1.928436156007757
-81.905625,1.531987249568594,1.928098706783878
-81.905,1.531987249568594,1.928098706783878
-81.904375,1.531987249568594,1.928773605231638
-81.90375,1.531987249568594,1.928773605231638
-81.903125,1.531653280790563,1.928436156007758
-81.9025,1.531319312012532,1.928436156007758
-81.901875,1.531653280790562,1.928436156007758
-81.90125,1.531319312012533,1.928773605231636
-81.90062500000001,1.530985343234502,1.929111054455516
-81.90000000000001,1.531319312012529,1.929111054455517
-81.89937500000001,1.531319312012531,1.929111054455517
-81.89875000000001,1.530985343234502,1.92877360523164
-81.89812500000001,1.531319312012528,1.928436156007761
-81.89750000000001,1.530985343234503,1.928436156007758
-81.89687500000001,1.531319312012528,1.928098706783881
-81.89624999999999,1.5309853432345,1.927761257560001
-81.895625,1.5309853432345,1.928098706783878
-81.895,1.530985343234503,1.928098706783878
-81.894375,1.531319312012534,1.928098706783878
-81.89375,1.531653280790563,1.92809870678388
-81.893125,1.531653280790563,1.928436156007755
-81.8925,1.531653280790565,1.928098706783878
-81.891875,1.531987249568594,1.928098706783879
-81.89125,1.531987249568593,1.928436156007758
-81.890625,1.531653280790563,1.928436156007759
-81.89,1.531653280790563,1.928773605231638
-81.889375,1.531987249568594,1.928773605231637
-81.88875,1.531653280790563,1.928436156007758
-81.888125,1.531319312012531,1.928436156007758
-81.8875,1.531653280790562,1.928436156007758
-81.886875,1.531319312012532,1.928436156007758
-81.88625,1.531319312012531,1.928436156007758
-81.885625,1.531653280790561,1.928436156007758
-81.88500000000001,1.530985343234503,1.928436156007758
-81.88437500000001,1.531319312012529,1.928436156007758
-81.88375000000001,1.531319312012531,1.92809870678388
-81.88312500000001,1.531319312012531,1.928098706783878
-81.88250000000001,1.531319312012531,1.928098706783878
-81.88187500000001,1.530651374456475,1.928098706783878
-81.88125000000001,1.53031740567844,1.928098706783878
-81.88062499999999,1.529983436900409,1.928436156007761
-81.88,1.530317405678433,1.928773605231641
-81.879375,1.529983436900405,1.929111054455521
-81.87875,1.529983436900405,1.929448503679397
-81.878125,1.529983436900405,1.929448503679397
-81.8775,1.529983436900408,1.929448503679397
-81.876875,1.53031740567844,1.929448503679396
-81.87625,1.5309853432345,1.929111054455517
-81.875625,1.5309853432345,1.929111054455516
-81.875,1.5309853432345,1.928773605231638
-81.874375,1.5309853432345,1.929111054455517
-81.87375,1.5309853432345,1.929111054455517
-81.873125,1.530651374456468,1.929111054455517
-81.8725,1.530651374456468,1.929448503679397
-81.871875,1.530985343234499,1.929111054455518
-81.87125,1.53131931201253,1.929111054455517
-81.870625,1.531653280790562,1.928773605231639
-81.87,1.531319312012533,1.928773605231638
-81.86937500000001,1.531653280790561,1.928436156007759
-81.86875000000001,1.531319312012533,1.928436156007758
-81.86812500000001,1.531319312012531,1.928436156007758
-81.86750000000001,1.53165328079056,1.928773605231635
-81.86687500000001,1.531653280790563,1.928098706783884
-81.86625000000001,1.532655187124647,1.927761257560001
-81.86562500000001,1.532989155902685,1.927761257559998
-81.86499999999999,1.532655187124657,1.927761257559998
-81.864375,1.532655187124657,1.927761257559998
-81.86375,1.532655187124654,1.927761257559998
-81.863125,1.532321218346626,1.927761257559998
-81.8625,1.532321218346628,1.927761257559998
-81.861875,1.532655187124657,1.92776125756
-81.86125,1.532655187124657,1.928098706783876
-81.860625,1.532655187124657,1.927761257559996
-81.86,1.532655187124655,1.927423808336119
-81.859375,1.531987249568592,1.927761257559998
-81.85875,1.531319312012531,1.928098706783876
-81.858125,1.531319312012531,1.927423808336118
-81.8575,1.531319312012531,1.927423808336118
-81.856875,1.531319312012531,1.927423808336118
-81.85625,1.531987249568593,1.927423808336118
-81.855625,1.532321218346625,1.927423808336118
-81.855,1.532655187124656,1.927423808336118
-81.854375,1.532321218346627,1.927423808336118
-81.85375000000001,1.532321218346626,1.92708635911224
-81.85312500000001,1.532655187124655,1.927086359112238
-81.85250000000001,1.532655187124657,1.927086359112238
-81.85187500000001,1.532321218346628,1.927086359112238
-81.85125000000001,1.531987249568597,1.927423808336115
-81.85062500000001,1.531987249568594,1.927423808336118
-81.85000000000001,1.531987249568594,1.927423808336118
-81.84937499999999,1.531653280790559,1.927761257559998
-81.84875,1.531319312012535,1.927761257559998
-81.848125,1.531653280790566,1.927761257559998
